Geroev25-3p,172.18.161.13,DES-3552_OTU
Geroev25-4p,172.18.161.14,DES-3552_OTU
Geroev25-5p,172.18.161.15,DES-3552_OTU
Geroev25-6p,172.18.161.16,DES-3552_OTU
Geroev25-7p,172.18.161.17,DES-3552_OTU
Geroev25-8p,172.18.161.18,DES-3552_OTU
Geroev27-1p,172.18.161.23,DES-3552_OTU
Geroev27-2p,172.18.161.24,DES-3552_OTU
Geroev27-3p,172.18.161.28,DES-3552_OTU
Geroev27-4p,172.18.161.19,DES-3552_OTU
Geroev27-5p,172.18.161.20,DES-3552_OTU
Geroev27-6p,172.18.161.21,DES-3552_OTU
Geroev27-7p,172.18.161.22,DES-3552_OTU
Geroev27-8p,172.18.161.27,DES-3552_OTU
Geroev27\1,172.18.161.10,DGS-3100-24TG_OTU
Gol23_8,172.19.228.2,DES-3552_OTU
Gol23_9,172.19.228.3,DES-3552_OTU
Gra16,172.19.250.100,DES-3028_OTU
Griboedova10,172.19.222.11,DES-3526_OTU
Griboedova10_sw2_p3_et3,172.19.222.26,DGS-1100-06/ME_OTU
Griboedova12_sw1,172.19.222.13,DGS-1100-06/ME_OTU
Griboedova12_sw2,172.19.222.10,DES-3010G_OTU
Griboedova_2B,172.19.222.18,DES-3200-52_OTU
Guk33\1-10p,172.19.161.4,DES-3526_OTU
Guk33\1-13p,172.19.161.12,DES-3028_OTU
Guk33\1-2p,172.19.161.67,DES-3010G_OTU
Guk33\1-3p,172.19.161.10,DES-3028_OTU
Guk33\1-6p,172.19.161.14,DES-3052_OTU
Guk33\3-1p,172.19.161.148,DES-3052_OTU
Guk33_3 3p,172.19.161.185,DES-3052_OTU
Guk37/1 10p,172.19.161.196,DES-3526_OTU
Guk37/3 - 2p,172.19.161.222,DES-3526_OTU
Guk37/3-3p,172.19.161.13,DES-3550_OTU
Guk37/3-3p#2,172.19.161.221,DGS-1210-20/ME_OTU
Guk37/3-5p,172.19.161.11,DES-3200-52_OTU
Guk37\1-1p,172.19.161.15,DES-3028_OTU
Guk37\1-3p (demontirovan),172.19.161.3,DES-3528_OTU
Guk37\1-7p,172.19.161.164,DES-3528_OTU
Gum19 172.20.250.42,172.20.250.42,DES-3526_OTU
Haz10_k1_p1,172.20.250.108,DES-3028_OTU
Haz10_k1_p6,172.20.250.203,DES-3526_OTU
Haz10_k1_p13,172.20.250.107,DES-3028_OTU
Haz13_k1_p3,172.20.250.110,DES-3028_OTU
Haz16_2_p13,172.20.250.114,DES-3028_OTU
Haz16_p1,172.20.250.122,DES-3028_OTU
