u43cs,172.16.243.1,cs-ME-3400G-2CS-A_OOS
u43sw1,172.16.243.243,cs-C2960_OOS
u44sw1,172.16.244.244,cs-C2960_OOS
u45cs,172.16.245.1,cs-ME-3400G-12CS-A_OOS
u47sw1,172.16.247.247,cs-C2960_OOS
u48sw1,172.16.248.248,cs-C2960_OOS
u49cr1,172.16.249.1,cs-ME3800X_OOS
u4cs1,172.16.204.1,cs-ME-3400G-2CS-A_OOS
u4sw1,172.16.204.204,cs-C2960_OOS
u50cr1,172.16.250.1,cs-ME-C6524GT_OOS
u51sw1,172.16.251.251,cs-C2960_OOS
u52sw1,172.16.252.2,cs-C2960_OOS
u53cs,172.16.253.1,cs-ME-3400G-12CS-A_OOS
u54cs1,172.16.254.1,cs-ME-3400G-12CS-A_OOS
u55cs1,172.16.255.1,cs-ME-3400G-12CS-A_OOS
u56sw1,172.17.56.56,cs-C2960_OOS
u57cs1,172.17.103.1,cs-ME-3400G-2CS-A_OOS
u58sw1,172.17.102.102,cs-C2960_OOS
u5sw1,172.16.205.205,cs-C3524_OOS
u6cs,172.16.206.1,cs-ME-3400G-2CS-A_OOS
u6sw1,172.16.206.206,cs-C2950_OOS
u7cr1,172.16.207.1,cs-C6506_OOS
u8cs1,172.16.208.1,cs-ME-3400G-2CS-A_OOS
u8sw1,172.16.208.208,cs-C2960_OOS
u9cr1,172.16.209.2,cs-C7301_OOS
u9cs1,172.16.209.1,cs-C3550_OOS
u9sw1,172.16.209.209,cs-C2960_OOS
utp901,172.17.72.72,cs-C2960_OOS
